"","Epoch","Phase","Recordcount","Readallfields","Requestdist","Operation","SSTsize","LOGsize","CPU","Memory","sst_files","total_sst_size","lsm_levels","pending_compactions","lsm_memory_usage","Readprop","Updateprop","Scanprop","Insertprop","Extendprop","Runtime.ms.","Throughput.ops.sec.","Operations","AverageLatency.us.","MinLatency.us.","MaxLatency.us.","X95thPercentileLatency.us.","X99thPercentileLatency.us.","Return.OK","X"
"1",1,"extend",10000,"true","uniform","EXTEND",3418276,262336,6,8.6,NA,NA,NA,NA,NA,0,0,0,0,1,1774640,281.747283956183,500000,3546.078422,761,60863,4299,4711,500000,NA
"2",1,"run",10000,"true","uniform","READ",3462592,579404,6,8.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,176084,567.91076985984,50120,211.143036711891,30,8199,536,904,50120,NA
"3",1,"run",10000,"true","uniform","UPDATE",3462592,579404,6,8.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,176084,567.91076985984,49880,3308.27495990377,924,35999,3959,4295,49880,NA
"4",1,"reference",10000,"true","uniform","READ",3373956,706112,6,8.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,177689,562.781038781241,49883,197.93147966241,28,12135,507,722,49883,NA
"5",1,"reference",10000,"true","uniform","UPDATE",3373956,706112,6,8.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,177689,562.781038781241,50117,3338.74551549374,856,47935,3897,4339,50117,NA
"6",1,"clean-run",10000,"true","uniform","READ",2488832,1087296,6,8.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,178964,558.771596522206,50151,250.025762198162,30,4271,762,1111,50151,NA
"7",1,"clean-run",10000,"true","uniform","UPDATE",2488832,1087296,6,8.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,178964,558.771596522206,49849,3329.01229713735,913,66175,4067,4467,49849,NA
"8",1,"avg-run",10000,"true","uniform","READ",2351956,1404100,6,8.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,176678,566.001426323594,49755,203.851874183499,30,5287,512,656,49755,NA
"9",1,"avg-run",10000,"true","uniform","UPDATE",2351956,1404100,6,8.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,176678,566.001426323594,50245,3304.24547716191,882,31087,3889,4183,50245,NA
"10",2,"extend",10000,"true","uniform","EXTEND",2445308,1531072,6,8.7,NA,NA,NA,NA,NA,0,0,0,0,1,1893071,264.121102695039,500000,3782.81396,966,101247,4951,5583,500000,NA
"11",2,"run",10000,"true","uniform","READ",2497212,2101984,6,8.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,189846,526.742728316636,50103,366.59317805321,32,22095,1065,1495,50103,NA
"12",2,"run",10000,"true","uniform","UPDATE",2497212,2101984,6,8.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,189846,526.742728316636,49897,3426.72128584885,960,46623,4403,4907,49897,NA
"13",2,"reference",10000,"true","uniform","READ",2499784,2355648,6,8.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,183733,544.268041124893,49992,271.727136341815,30,21807,880,1174,49992,NA
"14",2,"reference",10000,"true","uniform","UPDATE",2499784,2355648,6,8.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,183733,544.268041124893,50008,3392.63023916173,988,183295,4143,4591,50008,NA
"15",2,"clean-run",10000,"true","uniform","READ",2595564,3054276,6,8.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,192459,519.591185655127,50111,380.347149328491,32,139135,1067,1519,50111,NA
"16",2,"clean-run",10000,"true","uniform","UPDATE",2595564,3054276,6,8.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,192459,519.591185655127,49889,3466.04740523963,928,252799,4391,4935,49889,NA
"17",2,"avg-run",10000,"true","uniform","READ",2612116,3561412,6,8.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,174716,572.357425765242,49859,216.611043141659,30,9535,558,968,49859,NA
"18",2,"avg-run",10000,"true","uniform","UPDATE",2612116,3561412,6,8.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,174716,572.357425765242,50141,3259.83771763627,907,42815,3945,4307,50141,NA
"19",3,"extend",10000,"true","uniform","EXTEND",2712716,2038468,6.1,8.9,NA,NA,NA,NA,NA,0,0,0,0,1,1796021,278.393181371487,500000,3588.749354,1003,63999,4755,5275,500000,NA
"20",3,"run",10000,"true","uniform","READ",2769008,2863076,6.1,9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,176628,566.161650474443,50073,289.300421384778,36,15927,920,1405,50073,NA
"21",3,"run",10000,"true","uniform","UPDATE",2769008,2863076,6.1,9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,176628,566.161650474443,49927,3238.05289722996,946,191359,4219,4859,49927,NA
"22",3,"reference",10000,"true","uniform","READ",2647104,3307072,6.1,9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,190075,526.108115217677,50102,292.060616342661,31,85823,907,1219,50102,NA
"23",3,"reference",10000,"true","uniform","UPDATE",2647104,3307072,6.1,9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,190075,526.108115217677,49898,3506.36448354643,954,257023,4243,4931,49898,NA
"24",3,"clean-run",10000,"true","uniform","READ",2758412,72092,6.1,9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,205392,486.873880190076,50038,472.986969902874,37,91583,1218,2034,50038,NA
"25",3,"clean-run",10000,"true","uniform","UPDATE",2758412,72092,6.1,9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,205392,486.873880190076,49962,3627.39838277091,970,259071,4551,5703,49962,NA
"26",3,"avg-run",10000,"true","uniform","READ",2740976,832852,6.1,9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,178663,559.712979184274,50025,221.588445777111,32,69695,537,812,50025,NA
"27",3,"avg-run",10000,"true","uniform","UPDATE",2740976,832852,6.1,9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,178663,559.712979184274,49975,3343.76086043021,880,258687,3959,4343,49975,NA
