"","Epoch","Phase","Recordcount","Readallfields","Requestdist","Operation","SSTsize","LOGsize","CPU","Memory","sst_files","total_sst_size","lsm_levels","pending_compactions","lsm_memory_usage","Readprop","Updateprop","Scanprop","Insertprop","Extendprop","Runtime.ms.","Throughput.ops.sec.","Operations","AverageLatency.us.","MinLatency.us.","MaxLatency.us.","X95thPercentileLatency.us.","X99thPercentileLatency.us.","Return.OK","X"
"1",1,"extend",10000,"true","uniform","EXTEND",1020068,1846564,0.4,8.9,NA,NA,NA,NA,NA,0,0,0,0,1,1784415,280.203876340425,500000,3565.423912,912,130751,4335,4755,500000,NA
"2",1,"run",10000,"true","uniform","READ",1061760,2163656,0.4,9.3,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,180145,555.108384912154,50248,239.873288489094,30,8775,733,1103,50248,NA
"3",1,"run",10000,"true","uniform","UPDATE",1061760,2163656,0.4,9.3,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,180145,555.108384912154,49752,3367.37212574369,910,33407,4063,4475,49752,NA
"4",1,"reference",10000,"true","uniform","READ",1130988,2290368,0.4,11.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,176942,565.156944083372,49844,197.562133857636,29,8471,509,760,49844,NA
"5",1,"reference",10000,"true","uniform","UPDATE",1130988,2290368,0.4,11.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,176942,565.156944083372,50156,3320.64054151049,896,32479,3869,4175,50156,NA
"6",1,"clean-run",10000,"true","uniform","READ",676704,2670848,0.4,11.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,194457,514.252508266609,50234,379.474658597762,31,8239,1058,1371,50234,NA
"7",1,"clean-run",10000,"true","uniform","UPDATE",676704,2670848,0.4,11.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,194457,514.252508266609,49766,3511.94188803601,931,34079,4359,4787,49766,NA
"8",1,"avg-run",10000,"true","uniform","READ",698488,2987648,0.4,11.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,188158,531.468234143645,49866,315.63337745157,30,9655,976,1257,49866,NA
"9",1,"avg-run",10000,"true","uniform","UPDATE",698488,2987648,0.4,11.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,188158,531.468234143645,50134,3428.67955878246,920,26303,4227,4599,50134,NA
"10",2,"extend",10000,"true","uniform","EXTEND",808768,3116732,0.6,8.8,NA,NA,NA,NA,NA,0,0,0,0,1,2003798,249.526149841451,500000,4004.147204,1000,39839,5171,5851,500000,NA
"11",2,"run",10000,"true","uniform","READ",976088,3687652,0.6,8.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,178042,561.665225059256,49759,218.787998151088,32,12023,555,968,49759,NA
