"","Epoch","Phase","Recordcount","Readallfields","Requestdist","Operation","SSTsize","LOGsize","CPU","Memory","sst_files","total_sst_size","lsm_levels","pending_compactions","lsm_memory_usage","Readprop","Updateprop","Scanprop","Insertprop","Extendprop","Runtime.ms.","Throughput.ops.sec.","Operations","AverageLatency.us.","MinLatency.us.","MaxLatency.us.","X95thPercentileLatency.us.","X99thPercentileLatency.us.","Return.OK","X"
"1",1,"extend",10000,"true","uniform","EXTEND",2046636,2036052,4.9,50.2,NA,NA,NA,NA,NA,0,0,0,0,1,1927892,259.350627524778,500000,3852.214222,939,189567,4563,4827,500000,NA
"2",1,"run",10000,"true","uniform","READ",2088628,2353152,4.9,50.8,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,193001,518.132030403988,50112,266.461306673052,30,4879,536,629,50112,NA
"3",1,"run",10000,"true","uniform","UPDATE",2088628,2353152,4.9,50.8,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,193001,518.132030403988,49888,3589.79197402181,961,77951,4183,4423,49888,NA
"4",1,"reference",10000,"true","uniform","READ",2148484,2479840,4.9,50.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,194361,514.506511079898,49742,274.217643038076,28,4287,532,621,49742,NA
"5",1,"reference",10000,"true","uniform","UPDATE",2148484,2479840,4.9,50.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,194361,514.506511079898,50258,3585.0986907557,959,42367,4115,4355,50258,NA
"6",1,"clean-run",10000,"true","uniform","READ",1904736,2861080,4.9,50.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,194156,515.049753806218,49884,282.030991901211,30,4979,544,629,49884,NA
"7",1,"clean-run",10000,"true","uniform","UPDATE",1904736,2861080,4.9,50.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,194156,515.049753806218,50116,3582.53817144225,1006,108735,4215,4463,50116,NA
"8",1,"avg-run",10000,"true","uniform","READ",1888956,3114464,4.9,50.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,199748,500.63079480145,49652,279.554156932248,30,4487,538,626,49652,NA
"9",1,"avg-run",10000,"true","uniform","UPDATE",1888956,3114464,4.9,50.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,199748,500.63079480145,50348,3680.7057281322,972,91199,4227,4463,50348,NA
"10",2,"extend",10000,"true","uniform","EXTEND",1988052,3243756,4.9,50.7,NA,NA,NA,NA,NA,0,0,0,0,1,1958584,255.28647226772,500000,3913.618482,1004,188799,4687,4947,500000,NA
"11",2,"run",10000,"true","uniform","READ",2040448,3814640,4.9,51,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,177520,563.316809373592,49867,205.253093227986,33,8791,488,592,49867,NA
"12",2,"run",10000,"true","uniform","UPDATE",2040448,3814640,4.9,51,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,177520,563.316809373592,50133,3326.95900903596,986,69375,3977,4247,50133,NA
"13",2,"reference",10000,"true","uniform","READ",1927968,4131748,4.9,51,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,179419,557.354572258233,50053,199.677062313947,30,8455,479,584,50053,NA
"14",2,"reference",10000,"true","uniform","UPDATE",1927968,4131748,4.9,51,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,179419,557.354572258233,49947,3382.23631048912,962,179839,3935,4195,49947,NA
"15",2,"clean-run",10000,"true","uniform","READ",2096496,516160,4.9,51,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,177450,563.539025077487,49766,210.390728609894,32,5303,494,600,49766,NA
"16",2,"clean-run",10000,"true","uniform","UPDATE",2096496,516160,4.9,51,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,177450,563.539025077487,50234,3314.26862284508,944,349183,3979,4255,50234,NA
"17",2,"avg-run",10000,"true","uniform","READ",2039480,1086704,4.9,51,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,174856,571.899162739626,50304,199.613688772265,31,9143,485,592,50304,NA
"18",2,"avg-run",10000,"true","uniform","UPDATE",2039480,1086704,4.9,51,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,174856,571.899162739626,49696,3306.65749758532,939,193023,3905,4187,49696,NA
"19",3,"extend",10000,"true","uniform","EXTEND",2014348,3687604,4.9,40.5,NA,NA,NA,NA,NA,0,0,0,0,1,1919540,260.479073111266,500000,3835.653286,1031,191743,4703,4999,500000,NA
"20",3,"run",10000,"true","uniform","READ",2069968,262376,4.9,40.5,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,190225,525.693257983966,50141,290.426497277677,34,7107,561,652,50141,NA
"21",3,"run",10000,"true","uniform","UPDATE",2069968,262376,4.9,40.5,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,190225,525.693257983966,49859,3512.56338875629,944,191359,4219,4495,49859,NA
"22",3,"reference",10000,"true","uniform","READ",1995116,769808,4.9,40.5,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,196807,508.11200821109,49794,283.916275053219,32,5507,549,639,49794,NA
"23",3,"reference",10000,"true","uniform","UPDATE",1995116,769808,4.9,40.5,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,196807,508.11200821109,50206,3627.48697366849,980,193151,4239,4483,50206,NA
"24",3,"clean-run",10000,"true","uniform","READ",1973348,1722420,4.9,40.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,198606,503.509460942771,50009,304.802695514807,35,7343,567,659,50009,NA
"25",3,"clean-run",10000,"true","uniform","UPDATE",1973348,1722420,4.9,40.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,198606,503.509460942771,49991,3656.92778700166,1001,267775,4243,4519,49991,NA
"26",3,"avg-run",10000,"true","uniform","READ",2133800,2483216,4.9,40.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,196255,509.541158187052,50028,292.293215799152,32,9327,561,647,50028,NA
"27",3,"avg-run",10000,"true","uniform","UPDATE",2133800,2483216,4.9,40.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,196255,509.541158187052,49972,3624.15266549268,980,257023,4255,4535,49972,NA
"28",4,"extend",10000,"true","uniform","EXTEND",2003468,3433760,4.9,40.1,NA,NA,NA,NA,NA,0,0,0,0,1,1924703,259.780340135595,500000,3845.891382,1079,317183,4611,4875,500000,NA
"29",4,"run",10000,"true","uniform","READ",2061912,262420,4.9,40.5,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,196002,510.198875521678,49954,303.822216439124,39,3521,571,664,49954,NA
"30",4,"run",10000,"true","uniform","UPDATE",2061912,262420,4.9,40.5,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,196002,510.198875521678,50046,3602.30312112856,1014,227839,4263,4563,50046,NA
"31",4,"reference",10000,"true","uniform","READ",1978104,960176,4.9,40.5,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,199022,502.457014802384,50009,287.234037873183,32,7603,556,645,50009,NA
"32",4,"reference",10000,"true","uniform","UPDATE",1978104,960176,4.9,40.5,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,199022,502.457014802384,49991,3683.07043267788,1011,205055,4271,4555,49991,NA
