Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
1,extend,10000,TRUE,zipfian,EXTEND,76,582.383,0,0,0,0,1,278234,1797.048527,500000,553.78651,118,894463,971,2263,500000
1,run,10000,TRUE,uniform,READ,75.4,586.801,0.5,0.5,0,0,0,10448,9571.209801,50040,94.32310152,55,37535,165,447,50040
1,run,10000,TRUE,uniform,UPDATE,75.4,586.801,0.5,0.5,0,0,0,10448,9571.209801,49960,104.7642714,59,5731,193,452,49960
1,reference,10000,TRUE,uniform,READ,75.5,588.703,0.5,0.5,0,0,0,10284,9723.842863,49995,92.37745775,55,15567,174,374,49995
1,reference,10000,TRUE,uniform,UPDATE,75.5,588.703,0.5,0.5,0,0,0,10284,9723.842863,50005,103.1021498,58,37791,203,384,50005
1,clean-run,10000,TRUE,uniform,READ,75.2,869.391,0.5,0.5,0,0,0,10870,9199.632015,50044,98.17694429,56,36543,172,446,50044
1,clean-run,10000,TRUE,uniform,UPDATE,75.2,869.391,0.5,0.5,0,0,0,10870,9199.632015,49956,108.5176155,59,9519,203,463,49956
1,avg-run,10000,TRUE,uniform,READ,74.5,1003.33,0.5,0.5,0,0,0,10223,9781.864423,49981,94.13963306,55,37215,152,392,49981
1,avg-run,10000,TRUE,uniform,UPDATE,74.5,1003.33,0.5,0.5,0,0,0,10223,9781.864423,50019,100.015694,56,8343,175,400,50019
2,extend,10000,TRUE,zipfian,EXTEND,82.4,1212.7,0,0,0,0,1,571568,874.7865521,500000,1140.063602,123,1230847,1666,4039,500000
2,run,10000,TRUE,uniform,READ,82.2,1250.73,0.5,0.5,0,0,0,11829,8453.799983,49883,102.4105206,58,8719,179,428,49883
2,run,10000,TRUE,uniform,UPDATE,82.2,1250.73,0.5,0.5,0,0,0,11829,8453.799983,50117,123.7393499,64,76287,220,441,50117
2,reference,10000,TRUE,uniform,READ,82.1,1263.47,0.5,0.5,0,0,0,11301,8848.774445,49910,99.66459627,56,11175,184,428,49910
2,reference,10000,TRUE,uniform,UPDATE,82.1,1263.47,0.5,0.5,0,0,0,11301,8848.774445,50090,115.4761629,62,38815,221,416,50090
2,clean-run,10000,TRUE,uniform,READ,81.9,1286.76,0.5,0.5,0,0,0,11942,8373.806733,50256,106.5125955,56,38911,183,474,50256
2,clean-run,10000,TRUE,uniform,UPDATE,81.9,1286.76,0.5,0.5,0,0,0,11942,8373.806733,49744,122.0426584,64,7115,221,450,49744
2,avg-run,10000,TRUE,uniform,READ,81.5,1325.7,0.5,0.5,0,0,0,11290,8857.395926,50011,103.8737078,58,41087,185,475,50011
2,avg-run,10000,TRUE,uniform,UPDATE,81.5,1325.7,0.5,0.5,0,0,0,11290,8857.395926,49989,111.1026226,59,10719,206,470,49989
3,extend,10000,TRUE,zipfian,EXTEND,84.9,1422.46,0,0,0,0,1,703405,710.8280436,500000,1403.638788,128,1128447,2099,4223,500000
