"","Epoch","Phase","Recordcount","Readallfields","Requestdist","Operation","SSTsize","LOGsize","CPU","Memory","sst_files","total_sst_size","lsm_levels","pending_compactions","lsm_memory_usage","Readprop","Updateprop","Scanprop","Insertprop","Extendprop","Runtime.ms.","Throughput.ops.sec.","Operations","AverageLatency.us.","MinLatency.us.","MaxLatency.us.","X95thPercentileLatency.us.","X99thPercentileLatency.us.","Return.OK","X"
"1",1,"extend",10000,"true","uniform","EXTEND",1713276,1878384,8.3,9,NA,NA,NA,NA,NA,0,0,0,0,1,1973202,253.395242859069,500000,3942.145256,904,29375,4635,4879,500000,NA
"2",1,"run",10000,"true","uniform","READ",1740192,3463852,8.8,9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,992392,503.833162701836,249696,316.820962290145,34,11351,575,653,249696,NA
"3",1,"run",10000,"true","uniform","UPDATE",1740192,3463852,8.8,9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,992392,503.833162701836,250304,3641.20531034262,901,123583,4199,4423,250304,NA
"4",1,"reference",10000,"true","uniform","READ",1749836,452588,9,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,985931,507.134880635663,250201,309.485673518491,32,5323,570,648,250201,NA
"5",1,"reference",10000,"true","uniform","UPDATE",1749836,452588,9,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,985931,507.134880635663,249799,3628.95499581664,891,37311,4175,4403,249799,NA
"6",1,"clean-run",10000,"true","uniform","READ",1181596,2101716,9.3,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,987448,506.355777721966,249849,311.644493273937,34,14543,575,653,249849,NA
"7",1,"clean-run",10000,"true","uniform","UPDATE",1181596,2101716,9.3,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,987448,506.355777721966,250151,3628.89345635236,891,51167,4195,4419,250151,NA
"8",1,"avg-run",10000,"true","uniform","READ",1112744,2925308,9.3,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,974304,513.186849279075,250076,300.279678977591,31,8527,563,641,250076,NA
"9",1,"avg-run",10000,"true","uniform","UPDATE",1112744,2925308,9.3,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,974304,513.186849279075,249924,3590.59782974024,804,26783,4103,4331,249924,NA
"10",2,"extend",10000,"true","uniform","EXTEND",1260412,3180204,9.6,9.1,NA,NA,NA,NA,NA,0,0,0,0,1,1946668,256.849139144425,500000,3888.959924,973,109951,4687,4951,500000,NA
"11",2,"run",10000,"true","uniform","READ",1168964,1848212,9.7,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,900639,555.161390967968,249851,228.407747017222,35,5583,519,622,249851,NA
"12",2,"run",10000,"true","uniform","UPDATE",1168964,1848212,9.7,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,900639,555.161390967968,250149,3365.78173008887,876,158975,3993,4255,250149,NA
"13",2,"reference",10000,"true","uniform","READ",1407592,72092,9.8,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,951186,525.659545031151,250110,271.514645555955,35,5839,564,647,250110,NA
"14",2,"reference",10000,"true","uniform","UPDATE",1407592,72092,9.8,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,951186,525.659545031151,249890,3527.43265836968,919,239103,4175,4427,249890,NA
"15",2,"clean-run",10000,"true","uniform","READ",1362920,3181580,10,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,986207,506.992953811928,249735,317.575233747773,36,9327,587,667,249735,NA
"16",2,"clean-run",10000,"true","uniform","UPDATE",1362920,3181580,10,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,986207,506.992953811928,250265,3616.07798133978,937,254719,4267,4515,250265,NA
"17",2,"avg-run",10000,"true","uniform","READ",1264640,198804,10,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,977833,511.334757571078,249939,310.202869500158,32,8027,571,650,249939,NA
"18",2,"avg-run",10000,"true","uniform","UPDATE",1264640,198804,10,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,977833,511.334757571078,250061,3592.77817812454,861,113215,4155,4391,250061,NA
"19",3,"extend",10000,"true","uniform","EXTEND",1430424,3116588,10.2,9.1,NA,NA,NA,NA,NA,0,0,0,0,1,2011528,248.567258323026,500000,4018.511522,1022,194303,4831,5091,500000,NA
"20",3,"run",10000,"true","uniform","READ",1383044,3116752,10.4,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1002486,498.760082435066,250408,352.719513753554,40,10063,620,706,250408,NA
"21",3,"run",10000,"true","uniform","UPDATE",1383044,3116752,10.4,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1002486,498.760082435066,249592,3654.15466841886,966,257279,4311,4587,249592,NA
"22",3,"reference",10000,"true","uniform","READ",1499372,2736336,10.5,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1006176,496.930954425468,249983,336.647548033266,38,9767,612,697,249983,NA
"23",3,"reference",10000,"true","uniform","UPDATE",1499372,2736336,10.5,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1006176,496.930954425468,250017,3679.73754584688,912,258047,4311,4579,250017,NA
"24",3,"clean-run",10000,"true","uniform","READ",1775124,2926664,10.6,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1004940,497.542141819412,249501,339.314772285482,41,5935,619,706,249501,NA
"25",3,"clean-run",10000,"true","uniform","UPDATE",1775124,2926664,10.6,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1004940,497.542141819412,250499,3666.16155353914,952,241151,4319,4599,250499,NA
"26",3,"avg-run",10000,"true","uniform","READ",1565556,452728,10.6,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1000019,499.990500180497,249765,325.436982763798,31,8823,601,684,249765,NA
"27",3,"avg-run",10000,"true","uniform","UPDATE",1565556,452728,10.6,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1000019,499.990500180497,250235,3663.85766579415,858,190335,4267,4515,250235,NA
"28",4,"extend",10000,"true","uniform","EXTEND",1792848,1847972,10.8,9.1,NA,NA,NA,NA,NA,0,0,0,0,1,1983733,252.050049074145,500000,3963.208028,1039,258047,4731,4963,500000,NA
"29",4,"run",10000,"true","uniform","READ",1801468,3179608,10.9,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1021782,489.341170621522,250472,352.28710993644,44,6239,635,730,250472,NA
"30",4,"run",10000,"true","uniform","UPDATE",1801468,3179608,10.9,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1021782,489.341170621522,249528,3733.37423455484,1001,256895,4379,4679,249528,NA
"31",4,"reference",10000,"true","uniform","READ",1770936,4131428,11,9.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,1012643,493.757424877277,250102,345.445454254664,41,6059,619,703,250102,NA
