Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
5,clean-run,10000,TRUE,uniform,READ,74.6,2251.39,0.5,0.5,0,0,0,19021,5257.347143,50090,160.8310441,76,33023,406,622,50090
5,clean-run,10000,TRUE,uniform,UPDATE,74.6,2251.39,0.5,0.5,0,0,0,19021,5257.347143,49910,207.6208375,79,98879,429,640,49910
5,avg-run,10000,TRUE,uniform,READ,74.3,2582.69,0.5,0.5,0,0,0,15610,6406.149904,50044,131.1151986,60,9351,285,551,50044
5,avg-run,10000,TRUE,uniform,UPDATE,74.3,2582.69,0.5,0.5,0,0,0,15610,6406.149904,49956,170.0546081,61,244863,313,561,49956
6,extend,10000,TRUE,uniform,EXTEND,76.2,2582.73,0,0,0,0,1,217180,2302.237775,500000,431.821898,160,1437695,451,748,500000
6,run,10000,TRUE,uniform,READ,76.1,2681.73,0.5,0.5,0,0,0,24475,4085.801839,49789,151.5008134,79,7819,322,518,49789
6,run,10000,TRUE,uniform,UPDATE,76.1,2681.73,0.5,0.5,0,0,0,24475,4085.801839,50211,325.7154608,85,566783,355,556,50211
6,reference,10000,TRUE,uniform,READ,75.8,2813.43,0.5,0.5,0,0,0,25466,3926.804367,49972,224.1436004,68,50623,579,1213,49972
6,reference,10000,TRUE,uniform,UPDATE,75.8,2813.43,0.5,0.5,0,0,0,25466,3926.804367,50028,272.8819061,85,102847,622,1342,50028
6,clean-run,10000,TRUE,uniform,READ,75.7,2835.64,0.5,0.5,0,0,0,23645,4229.223937,50177,164.1526994,81,14959,386,607,50177
6,clean-run,10000,TRUE,uniform,UPDATE,75.7,2835.64,0.5,0.5,0,0,0,23645,4229.223937,49823,296.9236899,84,1147903,399,632,49823
6,avg-run,10000,TRUE,uniform,READ,75.5,3027.9,0.5,0.5,0,0,0,19642,5091.131249,50085,137.6556254,64,16343,272,484,50085
6,avg-run,10000,TRUE,uniform,UPDATE,75.5,3027.9,0.5,0.5,0,0,0,19642,5091.131249,49915,244.4820595,63,850431,313,511,49915
7,extend,10000,TRUE,uniform,EXTEND,77.5,3007.55,0,0,0,0,1,281790,1774.370985,500000,561.0599,173,998399,519,831,500000
7,run,10000,TRUE,uniform,READ,77.4,3124,0.5,0.5,0,0,0,30593,3268.721603,49827,165.2493026,86,33247,362,531,49827
7,run,10000,TRUE,uniform,UPDATE,77.4,3124,0.5,0.5,0,0,0,30593,3268.721603,50173,433.6400654,94,996863,394,603,50173
7,reference,10000,TRUE,uniform,READ,77,3294.28,0.5,0.5,0,0,0,29524,3387.074922,50173,258.7381261,73,59807,593,1295,50173
7,reference,10000,TRUE,uniform,UPDATE,77,3294.28,0.5,0.5,0,0,0,29524,3387.074922,49827,319.0916371,97,61343,640,1322,49827
7,clean-run,10000,TRUE,uniform,READ,76.8,3319.02,0.5,0.5,0,0,0,34178,2925.85874,50029,180.2139959,90,50207,393,600,50029
7,clean-run,10000,TRUE,uniform,UPDATE,76.8,3319.02,0.5,0.5,0,0,0,34178,2925.85874,49971,491.1669168,94,1211391,410,615,49971
7,avg-run,10000,TRUE,uniform,READ,76.6,3735.44,0.5,0.5,0,0,0,19371,5162.356099,49802,158.6205373,66,9607,385,585,49802
7,avg-run,10000,TRUE,uniform,UPDATE,76.6,3735.44,0.5,0.5,0,0,0,19371,5162.356099,50198,217.6244472,63,306943,385,611,50198
8,extend,10000,TRUE,uniform,EXTEND,78.4,3717.04,0,0,0,0,1,352920,1416.751672,500000,703.281562,188,1432575,588,911,500000
8,run,10000,TRUE,uniform,READ,78.3,3917.43,0.5,0.5,0,0,0,29639,3373.932994,49705,189.0690071,97,35647,403,562,49705
8,run,10000,TRUE,uniform,UPDATE,78.3,3917.43,0.5,0.5,0,0,0,29639,3373.932994,50295,389.6956755,109,535551,430,600,50295
