Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,
27,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,444.8879,106,51935,1392,4267,10000
27,run,1000,true,zipfian,READ,1,0,0,0,0,10000,205.5465,52,43743,588,1780,10000
28,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,490.249,113,48863,1582,4703,10000
28,run,1000,true,zipfian,READ,1,0,0,0,0,10000,210.0376,54,44415,595,1881,10000
29,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,488.3515,142,46591,1603,4571,10000
29,run,1000,true,zipfian,READ,1,0,0,0,0,10000,207.6639,48,44735,600,1812,10000
30,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,485.2059,149,49759,1615,4843,10000
30,run,1000,true,zipfian,READ,1,0,0,0,0,10000,218.7924,51,85375,641,1810,10000
31,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,504.734,124,52255,1710,4799,10000
31,run,1000,true,zipfian,READ,1,0,0,0,0,10000,209.3283,49,44319,633,1878,10000
32,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,497.6595,151,51711,1634,4743,10000
32,run,1000,true,zipfian,READ,1,0,0,0,0,10000,215.9882,48,45183,657,1944,10000
33,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,517.5883,150,52287,1838,5219,10000
33,run,1000,true,zipfian,READ,1,0,0,0,0,10000,221.5188,52,48031,654,1906,10000
34,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,514.7912,155,51263,1776,4847,10000
34,run,1000,true,zipfian,READ,1,0,0,0,0,10000,236.3737,51,43551,735,2173,10000
35,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,528.9645,152,48863,1856,4959,10000
35,run,1000,true,zipfian,READ,1,0,0,0,0,10000,226.4051,50,41727,697,1974,10000
36,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,532.0966,150,49823,1821,5303,10000
36,run,1000,true,zipfian,READ,1,0,0,0,0,10000,228.3103,49,43263,701,2071,10000
37,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,530.0828,154,48415,1902,5627,10000
37,run,1000,true,zipfian,READ,1,0,0,0,0,10000,209.1145,50,42559,631,1954,10000
38,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,514.2293,158,46879,1810,4815,10000
38,run,1000,true,zipfian,READ,1,0,0,0,0,10000,235.589,51,47839,713,2083,10000
39,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,558.558,153,46879,1988,5167,10000
39,run,1000,true,zipfian,READ,1,0,0,0,0,10000,238.922,51,43615,760,2073,10000
40,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,554.255,153,47871,1997,5299,10000
40,run,1000,true,zipfian,READ,1,0,0,0,0,10000,244.8383,51,44159,762,2051,10000
41,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,571.1324,154,50367,2009,5755,10000
41,run,1000,true,zipfian,READ,1,0,0,0,0,10000,257.3996,53,40543,846,2281,10000
42,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,566.2818,154,53503,2021,5255,10000
42,run,1000,true,zipfian,READ,1,0,0,0,0,10000,247.4309,54,44927,768,2137,10000
43,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,577.0584,156,56799,2113,5651,10000
43,run,1000,true,zipfian,READ,1,0,0,0,0,10000,243.4458,53,37535,793,2077,10000
44,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,564.7986,161,50495,2000,5463,10000
44,run,1000,true,zipfian,READ,1,0,0,0,0,10000,255.9983,51,46751,854,2233,10000
45,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,584.3855,144,46751,2159,5535,10000
45,run,1000,true,zipfian,READ,1,0,0,0,0,10000,255.5105,52,42143,840,2263,10000
46,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,566.7812,125,54399,2123,5739,10000
46,run,1000,true,zipfian,READ,1,0,0,0,0,10000,261.2045,57,40767,886,2269,10000
47,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,577.4313,163,46111,2133,5827,10000
47,run,1000,true,zipfian,READ,1,0,0,0,0,10000,260.265,56,42591,845,2357,10000
48,extend,1000,true,zipfian,EXTEND,0,0,0,0,1,10000,609.3614,158,49887,2247,5923,10000
48,run,1000,true,zipfian,READ,1,0,0,0,0,10000,256.5261,57,46495,799,2303,10000
